漢字,ひらがな,english
家事,かじ,housework
衣服,うふく,clothes
毛糸,けいと,knitting wool
編む,あむ,to knit;to braid
ミシン,みしん,sewing machine
縫う,ぬう,to sew;to stich
柄,がら,pattern;design
模様,もよう,pattern;figure;design
縞模様,しまもよう,striped pattern
散らかる,ちらかる,to lie scattered around;to be in disorder
家具,かぐ,futniture
退ける,どける,to put something out of the way;to set aside
埃,ほこり,dust
箒,ほうき,broom
払う,はらう,to brush off;to wipe away;to clear away;to pay
掃く,はく,to sweep;to brush;to clean
布巾,ふきん,tea-towel;dish cloth
拭く,ふく,to wipe;to dry
雑巾,ぞうきん,dust cloth
絞る,しぼる,to squeeze;to wring (towel)
ピカピカ,ぴかぴか,with a sparkle;with a glitter
整理,せいり,sorting;arrangement;organization
裏返す,うらがえす,to turn inside out
干す,ほす,to air;to dry
乾かす,かわかす,to dry (clothes);to disiccate
畳む,たたむ,to fold (clothes)
縮む,ちじむ,to shrink;to contract;to diminish (in size)
皺,しわ,wrinkles;crease
吊るす,つるす,to hang
炊事,すいじ,cooking;kitchen work
献立,こんだて,menu;program;schedule
材料,ざいりょう,ingredients;material
茹でる,ゆでる,to boil
蒸す,むす,to steam;to be hot and humid;to be sultry
揚げる,あげる,to deep fry
炒る,いる,to roast;to toast
炒める,いためる,to roast
炊く,たく,to cook (rice)
熱すする,ねっすする,to heat up
加熱する,加熱する,to heat up
煮る,にる,to boil
煮える,にえる,to be boiled;to be cooked
焦がす,こがす,to burn;to scorch;to singe;to char
焦げる,こげる,to burn;to scorch;to singe;to char
溶く,とく,to scramble (eggs);to dissolve (paint);to melt (metal)
溶かす,とかす,to dissolve;to melt
溶ける,とける,to dissolve;to melt
出来上がる,できあがる,to be ready;to be completed
倉庫,そうこ,storehouse;warehouse
瓶,びん,jar;bottle
栓,せん,stopper;cork;plug;bung
黴,かび,mold
腐る,くさる,to rot;to go bad
着せる,きせる,to clothe;to dress;to coat;to cover
撫でる,なでる,to pat;to brush gently;to comb (hair)
抱く,だく,to hold in one's arms;to hug
抱っこ,だっこ,hug;carrying in one's arms
背負う,せおう,to carry on one's back
負んぶ,おんぶ,carrying on one's back;piggyback ride
構う,かまう,to mind;to care about;to be concerned about
暴れる,あばれる,to rage;to act violently;to be riotous
零す,こぼす,to spill;to drop;to grumble;to complain
零れる,こぼれる,to spill;to fall out;to peek through;to become visible
汚す,よごす,to make dirty;to pollute
汚れる,よごれる,to get dirty;to become dirty
水玉模様,みずたまもよう,polka dots
引っくり返す,ひっくりかえす,to turn over;to turn upside down
仕上がる,しあがる,to be finished;to be done
出来立て,できたて,just made;fresh;newly-built
焼き立て,やきたて,freshly baked;freshly roasted;fresh made
せめて,せめて,at least;at most;(even) just
却って,かえって,on the contrary;rather;all the more;instead
予め,あらかじめ,beforehand;in advance;previously
ぐっと,ぐっと,suddenly;at once;in one go;considerably;a lot;completely;deeply
