漢字,ひらがな,english
交通,こうつう,traffic;transportation;communication
日程,にってい,schedule;agenda;programme
プラン,プラン,plan
座席,ざせき,seat
指定,してい,appointment;assignment;designation
往復,おうふく,making a round trip
片道,かたみち,one way trip
航空券,こうくうけん,plane ticket
待ち合わせる,まちあわせる,to arrange a meet
種類,しゅるい,type;category;kind
団体旅行,だんたいりょこう,group travel
個人旅行,こじんりょこう,individual travel
日帰り,ひがえり,day trip
宿泊,しゅくはく,lodging;accommodation
二泊三日,にはくみっか,three days and two nights
別荘,べっそう,vacation home;holiday house
滞在,たいざい,stay;sojourn
税関,ぜいかん,customs
通訳,つうやく,interpretation (oral translation)
パスポート,パスポート,passport
免税店,めんぜいてん,duty free store
見送る,みおくる,to see someone off
出迎える,でむかえる,to meet;to greet
観光,かんこう,sightseeing;tourism
城,しろ,castle
跡,あと,remains;site;ruins;trace;mark
広場,ひろば,plaza;public square
名所,めいしょ,famous place
回る,まわる,to visit several places;to turn;to revolve
巡る,めぐる,to return;to go around
首都,しゅと,capital city;metropolis
都心,としん,city centre
地方,ちほう,region;district
活気,かっき,liveliness;energy
混雑,こんざつ,congestion;crush;crowding;jam
大通り,おおどおり,main street
川沿い,かわぞい,along the river;riverside
交通機関,こうつうきかん,means of transportation;transit system
鉄道,てつどう,railroad;railway
高速バス,こうそくバス,express intercity bus
モノレール,モノレール,monorail
停留所,ていりゅうじょ,stop (bus)
迷う,まよう,to get lost
無視,むし,disregarding;ignoring
発つ,たつ,to depart
到着,とうちゃく,arrival
東京発香港経由ロンドン行き,とうきょうはつホンコンけいゆロンドンいき,departure from Tokyo through Hong Kong to arrive in London
便,べん,convenience
線路,せんろ,railway line;railroad
（プラット）ホーム,（プラット）ホーム,platform
売店,ばいてん,stand;stall;booth;kiosk;store
踏切,ふみきり,train crossing;railway crossing
横断,おうだん,crossing;traversing
上り電車,のぼりでんしゃ,upstream train*
下り電車,くだりでんしゃ,downstream train*
発車,はっしゃ,departure
停車,ていしゃ,stop (of a train)
乗車じょうしゃ,boarding (a train)
下車,げしゃ,getting off (a train)
通学,つうがく,school commute
通勤,つうきん,work commute
定期券,ていきけん,commuter pass;season ticket
回数券,かいすうけん,discount tickets;coupon tickets
ラッシュアワー,ラッシュアワー,rush hour
避ける,さける,to avoid
乗客,じょうきゃく,passenger
定員,ていいん,capacity;quota;fixed number (of people)
超える,こえる,to exceed;to surpass;to cross over;to pass through
団体競技,だんたいきょうぎ,team sports
個人競技,こじんきょうぎ,individual sport
線路沿い,せんろぞい,along the road
教育機関,きょういくきかん,educational institution
東京発,とうきょうはつ,departure from Tokyo
ロンドン行き,ロンドンいき,going to London
中でも,なかでも,among (other things);especially;particularly;above all (else)
列車,れっしゃ,train;railway train
既に,すでに,already;too late
何とか,なんとか,somehow;anyhow;one way or another;something;so-and-so
たった,たった,only;merely;but;no more than
