漢字,ひらがな,english
親類,しんるい,relative;kin
祖先,そせん,ancestor
子孫,しそん,descendant;offspring
祖父母,そふぼ,grandparents
孫,まご,grandchild
三世代,さんせだい,third generation
一家,いっか,family;household;one's family
集まり,あつまり,gathering;meeting
親孝行,おやこうこう,taking care of one's parents
実家,じっか,one's parents' home
懐かしい,なつかしい,nostalgic
三人姉妹,さんにんしまい,three sisters
末っ子,すえっこ,youngest child
一人っ子,ひとりっこ,only child
双子,ふたご,twins
仲良し,なかよし,close friend
仕事仲間,しごとなかま,friend from work
知人,ちじん,acquaintance
知り合い,しりあい,acquaintance
奥様,おくさま,wife
お母様,おかあさま,(respectful) mother
お父様,おとうさま,(respectful) father
お嬢ちゃん,おじょうちゃん,(respectful) someone else's daughter
（お）坊ちゃん,（お）ぼっちゃん,(respectful) someone else's son
夫妻,ふさい,married couple
夫人,ふじん,wife
職場,しょくば,workplace
上司,じょうし,one's superior; one's boss
部下,ぶか,subordinate person
先輩,せんぱい,senior
後輩,こうはい,junior
目上,めうえ,superior
目下,めした,subordinate
年上,としうえ,older
年下,としした,younger
同い年,おないどし,same age
周囲,しゅうい,surroundings
親しい付き合い,したしいつきあい,close relationship
コミュニケーション,コミュニケーション,communication
守る,まもる,to protect
破る,やぶる,to break
取り消す,とりけす,to cancel;to retract; to take back
言葉遣い,ことばづかい,wording;speech;language
握手,あくしゅ,handshake
お辞儀,おじぎ,bow
付き合い,つきあい,association;socializing;fellowship
話し合い,はなしあい,discussion
取り出す,とりだす,to take out; to pick out
取り替える,とりかえる,to exchange; to swap
金遣い,かねづかい,(way of) spending money
気遣い,きづかい,consideration;concern;fear;worry
長年,ながねん,long time;many years
たとえ,たとえ,no matter (what);although;though
ちっとも,ちっとも,(not) at all; (not) a bit; (not) in the least
丸で,まるで,as if; just like; quite; entirely
