漢字,ひらがな,english
飯,めし,meal;food;cooked rice
食う,くう,to eat
噛る,かじる,to bite;to gnaw;to munch
含む,ふくむ,to contain;to hold;to include
しゃぶる,しゃぶる,to lick;to suck
味わう,あじわう,to taste;to savour
香り,かおり,aroma;fragance
嗅ぐ,かぐ,to sniff;to smell
食欲,しょくよく,appetite
湯飲み,ゆのみ,teacup
お盆,おぼん,obon
栄養,えいよう,nutrition
消化,しょうか,digestion
凭れる,もたれる,to lie heavy(on the stomach);to be uneasily digested
宴会,えんかい,party;banquet;reception;feast
歓迎会,かんげいかい,welcome party
送別会,そうべつかい,farewell party
注ぐ,つぐ,to pour;to fill with
注ぐ,そそぐ,to pour
勧める,すすめる,to recommend
冷やす,ひやす,to cool;to chill;to refrigerate
温める,あたためる,to warm;to heat
酔う,よう,to get drunk
頭痛,ずつう,headache
吐き気,はきけ,nausea
吐く,はく,to vomit
目眩,めまい,dizziness;vertigo
意識,いしき,consciousness
失う,うしなう,to lose;to miss
酔い,よい,drunkenness
覚ます,さます,to sober up;to awaken;to arouse from sleep
覚める,さめる,to become sober;to wake;to wake up
酔っ払い,よっぱらい,drunkard
帰す,かえす,to send (someone) back;to send (someone) home
刺身,さしみ,sashimi
摘む,つまむ,to pinch;to pick up (with chopsticks)
贅沢,ぜいたく,luxury;extravagance
粗末,そまつ,humble;shabby;crude;rough
質,しつ,quality;value
貴重,きちょう,precious;valuable
新鮮,しんせん,fresh
天然,てんねん,nature;spontaneity
日本産,にほんさん,made in japan
原産,げんさん,place of origin;habitat
調味料,ちょうみりょう,seasoning;flavouring;condiment
酢,す,vinegar
醤油,しょうゆ,soy sauce
胡椒,こしょう,pepper
塩辛い,しおからい,salty;briny
塩っぱい,しょっぱい,salty;briny
酸っぱい,すっぱい,sour;acid
さっぱり,さっぱり,simple;plain;feeling refreshed;not in the least;nothing at all
執拗い,しつこい,too rich (taste);fatty;greasy;insistent;obstinate;persistent
諄い,くどい,heave (taste);strong;repetitious;tedious;verbose;wordy
好み,このみ,liking;taste;choice
苦手,にがて,poor (at);weak (in)
好き好き,すきずき,matter of taste
好き嫌い,すききらい,pickiness (about food);likes and dislikes;tastes
和食,わしょく,japanese food
洋食,ようしょく,western food
和風,わふう,japanese style
洋風,ようふう,western style
味付け,あじつけ,seasoning;flavour
行列,ぎょうれつ,line;queue
注文,ちゅうもん,order
追加,ついか,addition;supplement;appending
新年会,しんねんかい,new year's party
外国産,がいこくさん,of foreign manufacture
保存料,ほぞんりょう,preservative
中華風,ちゅうかふう,chinese style
現代風,げんだいふう,modern style
余程,よほど,quite;very;greatly;much
改めて,あらためて,another time;again;over again;once again;anew
頻りに,しきり,frequently;repeatedly;often;incessantly;strongly;eaferly
幾ら,いくら,no matter how;however (much);how much
